"Level","Shloka Name","Type","Question","Options","Correct Answer"
"Level 1","Rama Skandham","multiple_choice","Which of these facts about ""Rama Skandham"" is true?","Recited on Teacher's Day and Guru Purnima; Vrikodara means 'wolf-bellied' - Bhima's name due to his huge appetite; Popular during Navaratri festival; Hanuman is considered the 11th Rudra","Vrikodara means 'wolf-bellied' - Bhima's name due to his huge appetite"
"Level 1","Devi Shloka (Sarvamangala)","multiple_choice","What is the deeper meaning of ""Devi Shloka (Sarvamangala)""?","Seeking blessings from the Divine Mother; Gratitude for food; Peace and learning together; Meditating on Vishnu's form","Seeking blessings from the Divine Mother"
"Level 1","Vakratunda Mahakaya","multiple_choice","What does ""Vighnaharta"" mean - a name for Ganesha from the Vakratunda shloka's context?","Remover of obstacles; Big-bellied one; Son of Shiva; Elephant god","Remover of obstacles"
"Level 1","Ganga Shloka","multiple_choice","Which deity do we pray to in ""Ganga Shloka""?","Brahman (Supreme Reality); Sacred Rivers; Hanuman; Saraswati","Sacred Rivers"
"Level 1","Tvameva Mata","multiple_choice","What is the deeper meaning of ""Tvameva Mata""?","Meditating on Vishnu's form; Washing away sins; God is everything to us; Journey from ignorance to enlightenment","God is everything to us"
"Level 1","Rama Taraka Mantra","multiple_choice","What is the main message of ""Rama Taraka Mantra""?","Gaining blessings from Hanuman; Peace and learning together; Power of chanting God's name; God is everything to us","Power of chanting God's name"
"Level 1","Samudra Vasane","multiple_choice","Why do we ask Mother Earth for forgiveness in ""Samudra Vasane""?","For stepping on her with our feet; For polluting the environment; For not praying daily; For eating her plants","For stepping on her with our feet"
"Level 1","Sarve Bhavantu Sukhinah","multiple_choice","Which of these is mentioned in ""Sarve Bhavantu Sukhinah""?","gold; trees; ocean; happy","happy"
"Level 1","Karagre Vasate","multiple_choice","What life lesson does ""Karagre Vasate"" teach?","When you have God, you have everything; Learning happens best in harmony and cooperation; Food is sacred and divine; Achievement comes through our own hands and honest actions","Achievement comes through our own hands and honest actions"
"Level 1","Annapurna Shloka","multiple_choice","In the story behind ""Annapurna Shloka"", why did Shiva beg for food from Annapurna?","To teach that even gods depend on food; Because he was very hungry; To test Annapurna's cooking; Because Parvati asked him to","To teach that even gods depend on food"
"Level 1","Vakratunda Mahakaya","multiple_choice","Which deity do we pray to in ""Vakratunda Mahakaya""?","Bhumi Devi (Mother Earth); Durga/Narayani/Parvati; Ganesha; Vishnu","Ganesha"
"Level 1","Papoham (Surrender Prayer)","multiple_choice","Which of these facts about ""Papoham (Surrender Prayer)"" is true?","Also called Karadarshanam - looking at hands; Often chanted at the start of yoga classes; Similar to the concept of confession in other religions; One of the most universal Hindu prayers","Similar to the concept of confession in other religions"
"Level 1","Devi Shloka (Sarvamangala)","multiple_choice","What is the main message of ""Devi Shloka (Sarvamangala)""?","Seeking blessings from the Divine Mother; Complete surrender; Washing away sins; God is everything to us","Seeking blessings from the Divine Mother"
"Level 1","Pradakshina Shloka","multiple_choice","Which of these is mentioned in ""Pradakshina Shloka""?","stars; sins; birds; moon","sins"
"Level 1","Aham Vaishvanaro","multiple_choice","When should we chant ""Aham Vaishvanaro""?","Beginning of any task; Before eating; Devi worship / Navaratri; Bedtime","Before eating"
"Level 1","Ganga Shloka","multiple_choice","What is the deeper meaning of ""Ganga Shloka""?","Removing obstacles and achieving success; Gratitude for sacred rivers and water; Meditating on Vishnu's form; Gratitude for sacred rivers","Gratitude for sacred rivers and water"
"Level 1","Rama Skandham","multiple_choice","Who is ""Vinateya"" mentioned in ""Rama Skandham""?","Garuda - the divine eagle; Hanuman; A sage; Vishnu","Garuda - the divine eagle"
"Level 1","Vakratunda Mahakaya","multiple_choice","What does ""Vakratunda Mahakaya"" teach us about?","Sound as cosmic vibration; Teacher as the path to liberation; The curved trunk represents the cosmic sound 'Om' and wis...; Divine energy in human actions","The curved trunk represents the cosmic sound 'Om' and wis..."
"Level 1","Pradakshina Shloka","multiple_choice","When should we chant ""Pradakshina Shloka""?","Circumambulation (Pradakshina); Blessing for all beings; Prayer for guidance / Meditation; Devi worship / Navaratri","Circumambulation (Pradakshina)"
"Level 1","Guru Brahma","multiple_choice","Which of these facts about ""Guru Brahma"" is true?","Also called Bhumi Vandana; Very popular in Maharashtra during Ganesh Chaturthi; Recited on Teacher's Day and Guru Purnima; One of the most universal Hindu prayers","Recited on Teacher's Day and Guru Purnima"
"Level 1","Buddhir Balam (Hanuman Shloka)","multiple_choice","How many blessings does the ""Buddhir Balam"" shloka mention?","Five; Six; Eight; Ten","Eight"
"Level 1","Karagre Vasate","multiple_choice","Which of these facts about ""Karagre Vasate"" is true?","Also called Bhumi Vandana; One of the most universal Hindu prayers; Also called 'Karadarshanam' - looking at hands; Popular during Navaratri festival","Also called 'Karadarshanam' - looking at hands"
"Level 1","Samudra Vasane","audio_recite","Recite a shloka about Bhumi Devi (Mother Earth)","","samudravasane devi parvatastanamaṇḍale viṣṇupatni namastubhyaṃ pādasparśaṃ kṣamasvame"
"Level 1","Vakratunda Mahakaya","multiple_choice","In ""Vakratunda Mahakaya"", what does the curved trunk symbolize?","The cosmic sound Om and wisdom to navigate complex situations; Ganesha's love for sweets; The shape of the moon; A snake wrapped around","The cosmic sound Om and wisdom to navigate complex situations"
"Level 1","Sarve Bhavantu Sukhinah","multiple_choice","Which deity do we pray to in ""Sarve Bhavantu Sukhinah""?","Brahman (Supreme Reality); Guru (Teacher); Annapurna (Parvati); Universal Prayer","Universal Prayer"
"Level 1","Asato Ma Sadgamaya","multiple_choice","Which of these is mentioned in ""Asato Ma Sadgamaya""?","truth; moon; money; diamond","truth"
"Level 1","Aham Vaishvanaro","multiple_choice","Which deity do we pray to in ""Aham Vaishvanaro""?","Sacred Rivers; Guru (Teacher); Krishna (God as digestive fire); Rama","Krishna (God as digestive fire)"
"Level 1","Tvameva Mata","multiple_choice","What is the main message of ""Tvameva Mata""?","God is everything to us; Divine presence in our hands for action; Gaining blessings from Hanuman; Seeking blessings from Divine Mother","God is everything to us"
"Level 1","Sarve Bhavantu Sukhinah","multiple_choice","When should we chant ""Sarve Bhavantu Sukhinah""?","Daily chanting; Lighting the lamp; Before bathing; Blessing for all beings","Blessing for all beings"
"Level 1","Karagre Vasate","multiple_choice","What does ""Karagre Vasate"" teach us about?","Nature as a manifestation of God; Our hands carry divine energies - wealth, wisdom, and pro...; Divine energy in human actions; Sound as cosmic vibration","Our hands carry divine energies - wealth, wisdom, and pro..."
"Level 1","Guru Brahma","multiple_choice","What blessing do we ask for in ""Guru Brahma""?","Purity through sacred waters; Removal of past sins; Complete divine protection; Liberation from ignorance and the cycle of rebirth","Liberation from ignorance and the cycle of rebirth"
"Level 1","Rama Skandham","multiple_choice","When should we chant ""Rama Skandham""?","Complete surrender to God; Blessing for all beings; Devi worship / Navaratri; Bedtime","Bedtime"
"Level 1","Brahmarpanam","multiple_choice","Which of these facts about ""Brahmarpanam"" is true?","Very popular in Maharashtra during Ganesh Chaturthi; From Chapter 4 of Bhagavad Gita - Jnana Yoga; Also called Bhumi Vandana; These are the Sapta Sindhus - seven sacred rivers","From Chapter 4 of Bhagavad Gita - Jnana Yoga"
"Level 1","Sarve Bhavantu Sukhinah","multiple_choice","What life lesson does ""Sarve Bhavantu Sukhinah"" teach?","True spirituality includes wishing well for everyone; Food is sacred and divine; Light within removes negativity; Learning happens best in harmony and cooperation","True spirituality includes wishing well for everyone"
"Level 1","Papoham (Surrender Prayer)","multiple_choice","When should we chant ""Papoham (Surrender Prayer)""?","Morning - before stepping on ground; Prayer for forgiveness / Complete surrender; Bedtime; Morning - upon waking","Prayer for forgiveness / Complete surrender"
"Level 1","Annapurna Shloka","multiple_choice","Which of these facts about ""Annapurna Shloka"" is true?","Also called Karadarshanam - looking at hands; Popular during Navaratri festival; One of the most universal Hindu prayers; Annapurna temple in Varanasi is very famous","Annapurna temple in Varanasi is very famous"
"Level 1","Shubham Karoti","multiple_choice","What does ""Shubham Karoti"" teach us about?","Light dispelling darkness of ignorance; Rivers as purifying forces; Teacher as the path to liberation; Light represents knowledge dispelling the darkness of ign...","Light represents knowledge dispelling the darkness of ign..."
"Level 1","Tvameva Mata","multiple_choice","Which of these facts about ""Tvameva Mata"" is true?","Shiva is said to constantly chant Rama; Can be addressed to any deity - very versatile prayer; One of the most universal Hindu prayers; Also called Bhumi Vandana","Can be addressed to any deity - very versatile prayer"
"Level 1","Rama Skandham","multiple_choice","What blessing do we ask for in ""Rama Skandham""?","Protection from nightmares and peaceful sleep; Fulfillment of all wishes; Liberation from ignorance; Health, wealth, and removal of negative thoughts","Protection from nightmares and peaceful sleep"
"Level 1","Guru Brahma","multiple_choice","When should we chant ""Guru Brahma""?","For strength and intelligence; Honoring teachers / Guru Purnima; Devi worship / Navaratri; Bedtime","Honoring teachers / Guru Purnima"
"Level 1","Brahmarpanam","multiple_choice","""Brahmarpanam"" is one of the most philosophical shlokas. What does it teach?","Everything is Brahman - the food, eater, eating, and digestion; We should only eat vegetarian food; Brahma created all food; Food should be offered to Brahma first","Everything is Brahman - the food, eater, eating, and digestion"
"Level 1","Samudra Vasane","multiple_choice","What quality is celebrated in ""Samudra Vasane""?","Divine energy in human hands; Nurturing nature of Mother Earth; Power of light; Supreme wisdom of the teacher","Nurturing nature of Mother Earth"
"Level 1","Shantakaram (Vishnu Dhyana)","multiple_choice","""Shantakaram (Vishnu Dhyana)"" is a prayer for what?","Peaceful sleep; Respecting nature; Honoring teachers; Meditation on Vishnu","Meditation on Vishnu"
"Level 1","Aham Vaishvanaro","multiple_choice","True or False: ""Aham Vaishvanaro"" is chanted lighting the lamp.","True; False","False"
"Level 1","Devi Shloka (Sarvamangala)","multiple_choice","""Tryambike"" in the Devi Shloka means the goddess with how many eyes?","Three; Two; Four; One","Three"
"Level 1","Aham Vaishvanaro","multiple_choice","Which of these facts about ""Aham Vaishvanaro"" is true?","Recited during Deepavali; Very popular in Maharashtra during Ganesh Chaturthi; These are the Sapta Sindhus - seven sacred rivers; From Chapter 15 of Bhagavad Gita","From Chapter 15 of Bhagavad Gita"
"Level 1","Samudra Vasane","multiple_choice","What blessing do we ask for in ""Samudra Vasane""?","Happiness for all beings; Merit of thousand names; Knowledge and detachment; Forgiveness for walking on Mother Earth","Forgiveness for walking on Mother Earth"
"Level 1","Asato Ma Sadgamaya","multiple_choice","When should we chant ""Asato Ma Sadgamaya""?","Prayer for guidance / Meditation; Before bathing; Morning - before stepping on ground; Lighting the lamp","Prayer for guidance / Meditation"
"Level 1","Brahmarpanam","multiple_choice","""Brahmarpanam"" comes from which scripture?","Vishnu Sahasranama (Phala Shruti); Bhagavad Gita (4.24); Mudgala Purana; Bhagavad Gita","Bhagavad Gita (4.24)"
"Level 1","Devi Shloka (Sarvamangala)","multiple_choice","Which of these facts about ""Devi Shloka (Sarvamangala)"" is true?","Also called Karadarshanam - looking at hands; Often chanted at the start of yoga classes; Shiva is said to constantly chant Rama; Popular during Navaratri festival","Popular during Navaratri festival"
"Level 1","Papoham (Surrender Prayer)","multiple_choice","What psychological wisdom does ""Papoham"" teach?","Accepting our flaws is the first step to transformation; We should feel guilty forever; Only sinners should pray; God punishes all sinners","Accepting our flaws is the first step to transformation"
"Level 1","Shanti Mantra (Sahana Vavatu)","multiple_choice","What is the main message of ""Shanti Mantra (Sahana Vavatu)""?","Peace, protection, and learning together; Gaining blessings from Hanuman; Washing away sins; Respecting Mother Earth","Peace, protection, and learning together"
"Level 1","Rama Taraka Mantra","multiple_choice","Which of these is mentioned in ""Rama Taraka Mantra""?","flower; fire; gold; Rama","Rama"
"Level 1","Buddhir Balam (Hanuman Shloka)","multiple_choice","Which of these facts about ""Buddhir Balam (Hanuman Shloka)"" is true?","Also called Karadarshanam - looking at hands; Popular during Navaratri festival; Hanuman is considered the 11th Rudra (form of Shiva); Also called Pavamana Mantra","Hanuman is considered the 11th Rudra (form of Shiva)"
"Level 1","Multiple","Matching","Match each shloka with its occasion: (Pradakshina Shloka)","","Circumambulation (Pradakshina)"
"Level 1","Multiple","Matching","Match each shloka with its occasion: (Shubham Karoti)","","Lighting the lamp"
"Level 1","Multiple","Matching","Match each shloka with its occasion: (Sarve Bhavantu Sukhinah)","","Blessing for all beings"
"Level 1","Multiple","Matching","Match each shloka with its occasion: (Samudra Vasane)","","Morning - before stepping on ground"
"Level 1","Annapurna Shloka","multiple_choice","What life lesson does ""Annapurna Shloka"" teach?","Learning happens best in harmony and cooperation; Food is sacred and divine; When you have God, you have everything; Light within removes negativity","Food is sacred and divine"
"Level 1","Brahmarpanam","multiple_choice","What does ""Brahmarpanam"" teach us about?","Surrender as the highest devotion; Everything in the act of eating is Brahman - the food, th...; Sound as cosmic vibration; Teacher as the path to liberation","Everything in the act of eating is Brahman - the food, th..."
"Level 1","Vakratunda Mahakaya","multiple_choice","What blessing do we ask for in ""Vakratunda Mahakaya""?","Peaceful sleep without nightmares; Removal of past sins; Removal of obstacles and success in all endeavors; Intelligence and fearlessness","Removal of obstacles and success in all endeavors"
"Level 1","Tvameva Mata","multiple_choice","When should we chant ""Tvameva Mata""?","Honoring teachers / Guru Purnima; Devi worship / Navaratri; Complete surrender to God; Morning - upon waking","Complete surrender to God"
"Level 1","Asato Ma Sadgamaya","multiple_choice","What is the main message of ""Asato Ma Sadgamaya""?","Gaining blessings from Hanuman; Meditating on Vishnu's form; Journey from ignorance to enlightenment; God as the digestive fire","Journey from ignorance to enlightenment"
"Level 1","Rama Taraka Mantra","multiple_choice","According to ""Rama Taraka Mantra"", chanting ""Rama"" three times equals what?","Chanting 1000 names of Vishnu; Visiting a temple; Reading the entire Ramayana; Doing 100 good deeds","Chanting 1000 names of Vishnu"
"Level 1","Karagre Vasate","multiple_choice","When should we chant ""Karagre Vasate""?","Beginning of any task; Morning - upon waking; Prayer for forgiveness / Complete surrender; Daily chanting","Morning - upon waking"
"Level 1","Multiple","Matching","Match each shloka with its meaning: (Shubham Karoti)","","Power of light over darkness and negativity"
"Level 1","Multiple","Matching","Match each shloka with its meaning: (Devi Shloka (Sarvamangala))","","Seeking blessings from the Divine Mother"
"Level 1","Multiple","Matching","Match each shloka with its meaning: (Tvameva Mata)","","God is everything to us"
"Level 1","Multiple","Matching","Match each shloka with its meaning: (Aham Vaishvanaro)","","God as the digestive fire within us"
"Level 1","Pradakshina Shloka","multiple_choice","What does ""Pradakshina Shloka"" teach us about?","Nature as a manifestation of God; Light dispelling darkness of ignorance; The deity/sacred object is at the center of our life; Divine energy in human actions","The deity/sacred object is at the center of our life"
"Level 1","Aham Vaishvanaro","multiple_choice","""Aham Vaishvanaro"" comes from which scripture?","Bhagavad Gita (4.24); Mudgala Purana; Yajur Veda; Bhagavad Gita (15.14)","Bhagavad Gita (15.14)"
"Level 1","Multiple","Matching","Match each shloka with its deity: (Annapurna Shloka)","","Annapurna (Parvati)"
"Level 1","Multiple","Matching","Match each shloka with its deity: (Shantakaram (Vishnu Dhyana))","","Vishnu"
"Level 1","Multiple","Matching","Match each shloka with its deity: (Asato Ma Sadgamaya)","","Universal Prayer"
"Level 1","Multiple","Matching","Match each shloka with its deity: (Shubham Karoti)","","Deepa (Sacred Lamp)"
"Level 1","Tvameva Mata","multiple_choice","Which of these is mentioned in ""Tvameva Mata""?","mother; sky; flower; birds","mother"
"Level 1","Rama Taraka Mantra","multiple_choice","What quality is celebrated in ""Rama Taraka Mantra""?","Transformative power of divine names; Unity of all existence; God's presence within all; Divine energy in human hands","Transformative power of divine names"
"Level 1","Buddhir Balam (Hanuman Shloka)","multiple_choice","Which of these is mentioned in ""Buddhir Balam (Hanuman Shloka)""?","intelligence; gold; birds; ocean","intelligence"
"Level 1","Ganga Shloka","multiple_choice","What does ""Ganga Shloka"" teach us about?","Rivers as purifying forces; Surrender as the highest devotion; Food as sacred offering; Invokes the purity and blessings of all seven sacred rive...","Invokes the purity and blessings of all seven sacred rive..."
"Level 1","Papoham (Surrender Prayer)","multiple_choice","Which of these is mentioned in ""Papoham (Surrender Prayer)""?","sin; money; sky; fruit","sin"
"Level 1","Shanti Mantra (Sahana Vavatu)","multiple_choice","What life lesson does ""Shanti Mantra (Sahana Vavatu)"" teach?","True spirituality includes wishing well for everyone; Achievement comes through our own hands and honest actions; Learning happens best in harmony and cooperation; Teachers are divine guides","Learning happens best in harmony and cooperation"
"Level 1","Tvameva Mata","multiple_choice","True or False: ""Tvameva Mata"" is chanted blessing for all beings.","True; False","False"
"Level 1","Samudra Vasane","multiple_choice","True or False: ""Samudra Vasane"" is chanted morning - before stepping on ground.","True; False","True"
"Level 1","Rama Taraka Mantra","multiple_choice","When should we chant ""Rama Taraka Mantra""?","Beginning of study; Morning - before stepping on ground; Daily chanting; Complete surrender to God","Daily chanting"
"Level 1","Asato Ma Sadgamaya","multiple_choice","Which of these facts about ""Asato Ma Sadgamaya"" is true?","Often chanted at the start of yoga classes; Also called Pavamana Mantra, found in Yajur Veda; Also called Karadarshanam - looking at hands; Shiva is said to constantly chant Rama","Also called Pavamana Mantra, found in Yajur Veda"
"Level 1","Shubham Karoti","multiple_choice","Which of these is mentioned in ""Shubham Karoti""?","lamp; peace; flower; fruit","lamp"
"Level 1","Rama Skandham","multiple_choice","In ""Rama Skandham"", who is ""Vrikodara"" (wolf-bellied)?","Bhima; Hanuman; Garuda; Skanda","Bhima"
"Level 1","Ganga Shloka","multiple_choice","Which of these facts about ""Ganga Shloka"" is true?","These are the Sapta Sindhus - seven sacred rivers of India; Popular during Navaratri festival; Also called Bhumi Vandana; Also called Pavamana Mantra","These are the Sapta Sindhus - seven sacred rivers of India"
"Level 1","Papoham (Surrender Prayer)","multiple_choice","What quality is celebrated in ""Papoham (Surrender Prayer)""?","Harmony and peaceful learning; Purity of sacred rivers; Purifying power; Merciful nature of the divine","Merciful nature of the divine"
"Level 1","Annapurna Shloka","multiple_choice","Which deity do we pray to in ""Annapurna Shloka""?","Guru (Teacher); Bhumi Devi (Mother Earth); Annapurna (Parvati); Rama","Annapurna (Parvati)"
"Level 1","Pradakshina Shloka","multiple_choice","What quality is celebrated in ""Pradakshina Shloka""?","Guiding power toward truth; God's presence within all; Purifying power of devotion; Divine radiance and obstacle removal","Purifying power of devotion"
"Level 1","Shantakaram (Vishnu Dhyana)","multiple_choice","Which of these facts about ""Shantakaram (Vishnu Dhyana)"" is true?","From Chapter 15 of Bhagavad Gita; Describes Vishnu in Anantashayana pose (sleeping on cosmic serpent); Recited during Deepavali; Also called Pavamana Mantra","Describes Vishnu in Anantashayana pose (sleeping on cosmic serpent)"
"Level 1","Rama Skandham","multiple_choice","True or False: ""Rama Skandham"" is chanted bedtime.","True; False","True"
"Level 1","Devi Shloka (Sarvamangala)","multiple_choice","Which deity do we pray to in ""Devi Shloka (Sarvamangala)""?","Sacred Rivers; Lakshmi; Durga/Narayani/Parvati; Saraswati","Durga/Narayani/Parvati"
"Level 1","Ganga Shloka","multiple_choice","When should we chant ""Ganga Shloka""?","Beginning of study; Bedtime; Before bathing; Morning - upon waking","Before bathing"
"Level 1","Asato Ma Sadgamaya","multiple_choice","Which deity do we pray to in ""Asato Ma Sadgamaya""?","Lakshmi; Ganesha; Bhumi Devi (Mother Earth); Universal Prayer","Universal Prayer"
"Level 1","Karagre Vasate","multiple_choice","In ""Karagre Vasate"", which goddess resides at the fingertips?","Lakshmi; Saraswati; Durga; Parvati","Lakshmi"
"Level 1","Shubham Karoti","multiple_choice","Which deity do we pray to in ""Shubham Karoti""?","Vishnu; Deepa (Sacred Lamp); Guru (Teacher); Krishna","Deepa (Sacred Lamp)"
"Level 1","Rama Skandham","audio_fill","Say the missing part of ""Rama Skandham"":","",""
"Level 1","Buddhir Balam (Hanuman Shloka)","multiple_choice","When should we chant ""Buddhir Balam (Hanuman Shloka)""?","For strength and intelligence; Complete surrender to God; Before bathing; Beginning of any task","For strength and intelligence"
"Level 1","Brahmarpanam","multiple_choice","What life lesson does ""Brahmarpanam"" teach?","Light within removes negativity; Transforms the mundane act of eating into a sacred offering; True spirituality includes wishing well for everyone; Teachers are divine guides","Transforms the mundane act of eating into a sacred offering"
"Level 1","Sarve Bhavantu Sukhinah","multiple_choice","What makes ""Sarve Bhavantu Sukhinah"" special compared to other prayers?","It wishes happiness for ALL beings, not just self or family; It is the longest shloka; It was written by Valmiki; It can only be chanted at temples","It wishes happiness for ALL beings, not just self or family"
"Level 1","Guru Brahma","multiple_choice","What quality is celebrated in ""Guru Brahma""?","Abundance and nourishment; Universal compassion; Supreme wisdom of the teacher; Protective power","Supreme wisdom of the teacher"
"Level 1","Annapurna Shloka","multiple_choice","What does ""Annapurna Shloka"" teach us about?","Sound as cosmic vibration; Annapurna means 'full of food' - the goddess who provides...; Rivers as purifying forces; Food as sacred offering","Annapurna means 'full of food' - the goddess who provides..."
"Level 1","Papoham (Surrender Prayer)","multiple_choice","What is the main message of ""Papoham (Surrender Prayer)""?","Seeking blessings from Divine Mother; Gratitude for sacred rivers; Complete surrender and seeking refuge; Power of chanting God's name","Complete surrender and seeking refuge"
"Level 1","Guru Brahma","multiple_choice","What does ""Guru Brahma"" teach us about?","Sound as cosmic vibration; Food as sacred offering; Guru creates knowledge, preserves it, and destroys ignora...; Light dispelling darkness of ignorance","Guru creates knowledge, preserves it, and destroys ignora..."
"Level 1","Guru Brahma","audio_fill","Say the missing part of ""Guru Brahma"":","",""
"Level 1","Karagre Vasate","multiple_choice","True or False: ""Karagre Vasate"" is chanted daily chanting.","True; False","False"
"Level 1","Sarve Bhavantu Sukhinah","multiple_choice","True or False: ""Sarve Bhavantu Sukhinah"" is chanted before bathing.","True; False","False"
"Level 1","Shubham Karoti","multiple_choice","When should we chant ""Shubham Karoti""?","Lighting the lamp; Bedtime; Devi worship / Navaratri; Morning - upon waking","Lighting the lamp"
"Level 1","Shubham Karoti","multiple_choice","What is the deeper meaning of ""Shubham Karoti""?","God as the digestive fire; Power of light over darkness and negativity; Peace and learning together; Gaining blessings from Hanuman","Power of light over darkness and negativity"
